股票代码,股票简称,现价(元),涨跌幅(%)
002843.SZ,泰嘉股份,49.04,-3.84
603007.SH,花王股份,48.91,-9.41
000915.SZ,山大华特,48.79,1.86
600211.SH,西藏药业,48.76,-1.48
300611.SZ,美力科技,48.74,-9.99
300521.SZ,爱司凯,48.69,-1.66
603208.SH,江山欧派,48.68,-5.77
603603.SH,博天环境,48.67,-3.28
002860.SZ,星帅尔,48.56,-10.01
000596.SZ,古井贡酒,48.47,-1.40
002594.SZ,比亚迪,48.39,-0.33
603322.SH,超讯通信,48.29,-9.35
300530.SZ,达志科技,48.02,-3.96
300629.SZ,新劲刚,47.85,-9.34
002789.SZ,建艺集团,47.69,-5.56
002032.SZ,苏泊尔,47.58,-0.88
000568.SZ,泸州老窖,47.38,0.34
000858.SZ,五粮液,47.13,0.11
300473.SZ,德尔股份,46.90,-5.27
300555.SZ,路通视信,46.70,-7.76
600452.SH,涪陵电力,46.56,-1.50
603009.SH,北特科技,46.39,5.00
300602.SZ,飞荣达,46.31,-9.13
300631.SZ,久吾高科,46.02,-6.35
600563.SH,法拉电子,45.97,-0.69
300340.SZ,科恒股份,45.87,-2.32
000418.SZ,小天鹅A,45.80,-1.06
300513.SZ,恒泰实达,45.78,-9.13
600161.SH,天坛生物,45.63,1.54
300501.SZ,海顺新材,45.50,-7.33
600137.SH,浪莎股份,45.47,-0.22
603556.SH,海兴电力,45.47,0.38
300468.SZ,四方精创,45.36,-3.84
300619.SZ,金银河,45.07,-10.00
600419.SH,天润乳业,44.83,-4.29
603228.SH,景旺电子,44.77,-3.62
002466.SZ,天齐锂业,44.72,0.07
300550.SZ,和仁科技,44.71,-7.14
300436.SZ,广生堂,44.60,-5.09
002773.SZ,康弘药业,44.20,0.91
002120.SZ,韵达股份,44.17,-4.12
600038.SH,中直股份,44.17,-1.10
603822.SH,嘉澳环保,44.06,-9.53
300492.SZ,山鼎设计,44.05,-0.32
300639.SZ,凯普生物,44.03,-6.40
300651.SZ,金陵体育,43.88,3.69
300572.SZ,安车检测,43.80,-6.57
002805.SZ,丰元股份,43.66,-0.55
300608.SZ,思特奇,43.40,-6.93
002801.SZ,微光股份,43.39,-8.75
603883.SH,老百姓,43.32,-1.19
002871.SZ,伟隆股份,43.20,10.01
603393.SH,新天然气,43.08,-5.38
603085.SH,天成自控,43.01,-3.46
002761.SZ,多喜爱,43.00,-8.30
002823.SZ,凯中精密,42.99,-8.53
603799.SH,华友钴业,42.99,-4.93
600612.SH,老凤祥,42.92,0.54
601318.SH,中国平安,42.84,4.46
603096.SH,新经典,42.81,-8.00
300559.SZ,佳发安泰,42.80,-8.06
603955.SH,大千生态,42.57,-7.52
300650.SZ,太龙照明,42.43,-6.79
603960.SH,克来机电,42.40,-7.20
002366.SZ,台海核电,42.24,-1.65
002383.SZ,合众思壮,42.22,-2.72
300578.SZ,会畅通讯,42.18,-8.46
603637.SH,镇海股份,42.12,-3.86
603032.SH,德新交运,42.05,-1.57
300604.SZ,长川科技,41.99,-6.69
601799.SH,星宇股份,41.74,0.07
600455.SH,博通股份,41.73,-2.93
300446.SZ,乐凯新材,41.65,-6.24
002460.SZ,赣锋锂业,41.46,-1.33
603066.SH,音飞储存,41.36,-6.34
603179.SH,新泉股份,41.26,-9.99
300563.SZ,神宇股份,41.24,-5.78
300570.SZ,太辰光,41.01,-5.90
300422.SZ,博世科,40.90,-3.15
002817.SZ,黄山胶囊,40.81,-6.31
300568.SZ,星源材质,40.81,-3.59
300450.SZ,先导智能,40.68,-3.26
002620.SZ,瑞和股份,40.65,-5.47
603726.SH,朗迪集团,40.62,-1.24
002851.SZ,麦格米特,40.61,-7.68
603086.SH,先达股份,40.54,-9.89
600535.SH,天士力,40.53,0.27
002508.SZ,老板电器,40.50,1.81
300430.SZ,诚益通,40.40,-1.15
300588.SZ,熙菱信息,40.35,1.26
300645.SZ,正元智慧,40.35,-9.47
603528.SH,多伦科技,40.32,-4.21
002811.SZ,亚泰国际,40.30,-1.49
002870.SZ,香山股份,40.12,-6.89
300038.SZ,梅泰诺,40.05,-0.30
603926.SH,铁流股份,40.05,-9.70
002800.SZ,天顺股份,39.93,-6.38
300509.SZ,新美星,39.88,1.09
603319.SH,湘油泵,39.86,-4.89
002818.SZ,富森美,39.84,-2.85
600009.SH,上海机场,39.82,1.27
603258.SH,电魂网络,39.71,-5.39
300072.SZ,三聚环保,39.54,0.92
300573.SZ,兴齐眼药,39.48,-5.71
603159.SH,上海亚虹,39.48,-5.73
300384.SZ,三联虹普,39.23,-2.97
603658.SH,安图生物,39.14,-1.34
300456.SZ,耐威科技,39.11,-4.14
603665.SH,康隆达,39.00,-7.28
300598.SZ,诚迈科技,38.96,-7.02
002287.SZ,奇正藏药,38.88,-2.82
300551.SZ,古鳌科技,38.88,-7.74
603788.SH,宁波高发,38.87,-0.87
600259.SH,广晟有色,38.84,-1.80
603991.SH,至正股份,38.81,-8.81
002842.SZ,翔鹭钨业,38.80,-8.10
300382.SZ,斯莱克,38.80,-1.62
300615.SZ,欣天科技,38.79,-7.86
000820.SZ,神雾节能,38.77,-2.34
603218.SH,日月股份,38.72,-5.17
603031.SH,安德利,38.71,-8.29
300546.SZ,雄帝科技,38.62,-4.17
603288.SH,海天味业,38.60,-1.03
603727.SH,博迈科,38.55,-1.00
002462.SZ,嘉事堂,38.45,-1.44
603199.SH,九华旅游,38.43,2.07
002456.SZ,欧菲光,38.35,-0.90
603989.SH,艾华集团,38.29,-0.91
300609.SZ,汇纳科技,38.23,-5.16
002338.SZ,奥普光电,38.03,-3.13
600771.SH,广誉远,38.01,0.03
002803.SZ,吉宏股份,38.00,-4.14
002836.SZ,新宏泽,37.88,-4.82
300471.SZ,厚普股份,37.87,-2.27
603990.SH,麦迪科技,37.87,-5.66
002343.SZ,慈文传媒,37.85,-2.95
600694.SH,大商股份,37.83,2.38
300515.SZ,三德科技,37.75,-8.13
000025.SZ,特力A,37.71,-2.93
603811.SH,诚意药业,37.69,-8.12
300285.SZ,国瓷材料,37.68,-1.62
300357.SZ,我武生物,37.64,-2.06
300537.SZ,广信材料,37.59,-4.96
300576.SZ,容大感光,37.53,-8.64
002862.SZ,实丰文化,37.50,-6.25
002857.SZ,三晖电气,37.45,-5.60
002798.SZ,帝王洁具,37.41,-5.29
600885.SH,宏发股份,37.27,-0.93
300279.SZ,和晶科技,37.25,-3.60
603021.SH,山东华鹏,37.24,-3.65
002849.SZ,威星智能,37.23,-2.05
603186.SH,华正新材,37.19,-10.00
300649.SZ,杭州园林,37.16,10.01
300505.SZ,川金诺,37.10,-6.34
300042.SZ,朗科科技,37.02,-2.84
002791.SZ,坚朗五金,37.01,-5.10
300603.SZ,立昂技术,37.01,-2.40
300556.SZ,丝路视觉,36.90,-2.77
600570.SH,恒生电子,36.82,-3.41
603033.SH,三维股份,36.77,-4.84
002825.SZ,纳尔股份,36.68,-7.89
002755.SZ,东方新星,36.65,-2.45
300552.SZ,万集科技,36.60,-6.61
002572.SZ,索菲亚,36.59,-0.95
300411.SZ,金盾股份,36.51,-1.48
300136.SZ,信维通信,36.47,1.31
002709.SZ,天赐材料,36.45,-1.96
603225.SH,新凤鸣,36.43,-4.58
000856.SZ,冀东装备,36.41,-5.50
300536.SZ,农尚环境,36.40,-6.07
300610.SZ,晨化股份,36.36,-5.56
002359.SZ,齐星铁塔,36.27,1.03
300584.SZ,海辰药业,36.26,-6.23
603197.SH,保隆科技,36.22,9.99
000333.SZ,美的集团,36.21,1.89
002835.SZ,同为股份,36.20,-6.46
