股票代码,股票简称,现价(元),涨跌幅(%)
600729.SH,重庆百货,25.43,0.67
300394.SZ,天孚通信,25.41,-3.93
002840.SZ,华统股份,25.39,-3.75
603803.SH,瑞斯康达,25.38,-6.14
600754.SH,锦江股份,25.31,0.72
601607.SH,上海医药,25.31,-0.16
603987.SH,康德莱,25.30,-4.85
601116.SH,三江购物,25.26,2.43
603339.SH,四方冷链,25.24,-5.89
002149.SZ,西部材料,25.23,-0.75
600062.SH,华润双鹤,25.23,-1.45
300434.SZ,金石东方,25.22,-3.37
300397.SZ,天和防务,25.21,-2.48
002384.SZ,东山精密,25.20,-0.47
300404.SZ,博济医药,25.18,3.62
300346.SZ,南大光电,25.10,-10.00
300380.SZ,安硕信息,25.07,-5.04
002180.SZ,艾派克,25.04,-2.87
300421.SZ,力星股份,25.01,-4.03
300317.SZ,珈伟股份,25.00,-4.40
300438.SZ,鹏辉能源,25.00,-1.15
300496.SZ,中科创达,24.97,-4.59
300347.SZ,泰格医药,24.96,-2.54
002117.SZ,东港股份,24.89,-3.71
300399.SZ,京天利,24.89,-3.11
002753.SZ,永东股份,24.83,-3.08
603566.SH,普莱柯,24.81,-0.76
002762.SZ,金发拉比,24.80,-4.98
600679.SH,上海凤凰,24.77,-3.32
600763.SH,通策医疗,24.77,-0.68
603628.SH,清源股份,24.77,-7.95
300653.SZ,正海生物,24.72,10.01
300656.SZ,民德电子,24.71,10.02
300449.SZ,汉邦高科,24.65,-4.42
603929.SH,亚翔集成,24.63,-5.63
300369.SZ,绿盟科技,24.62,-1.01
300432.SZ,富临精工,24.60,-1.13
300222.SZ,科大智能,24.58,0.04
600262.SH,北方股份,24.58,-3.00
603223.SH,恒通股份,24.51,-1.33
300238.SZ,冠昊生物,24.50,-2.27
000023.SZ,深天地A,24.49,0.04
002322.SZ,理工环科,24.45,0.29
300565.SZ,科信技术,24.31,-9.33
300637.SZ,扬帆新材,24.29,-9.54
002714.SZ,牧原股份,24.28,-2.22
002543.SZ,万和电气,24.26,-1.78
603518.SH,维格娜丝,24.24,-3.77
603098.SH,森特股份,24.23,0.21
300499.SZ,高澜股份,24.20,-6.56
603689.SH,皖天然气,24.17,-4.32
002192.SZ,融捷股份,24.15,-2.35
603800.SH,道森股份,24.09,-6.59
600897.SH,厦门空港,24.08,0.33
300489.SZ,中飞股份,24.07,-3.87
603878.SH,武进不锈,24.04,-4.60
002282.SZ,博深工具,24.00,-0.13
300445.SZ,康斯特,23.99,-3.27
603698.SH,航天工程,23.93,-2.49
300448.SZ,浩云科技,23.92,-0.75
603936.SH,博敏电子,23.92,-1.89
000803.SZ,*ST金宇,23.91,-2.84
300044.SZ,赛为智能,23.88,0.63
300075.SZ,数字政通,23.85,-4.41
300476.SZ,胜宏科技,23.85,0.76
600298.SH,安琪酵母,23.80,1.49
000065.SZ,北方国际,23.77,-3.22
600785.SH,新华百货,23.76,-2.50
300321.SZ,同大股份,23.74,-3.73
002058.SZ,威尔泰,23.65,-1.54
002703.SZ,浙江世宝,23.65,-4.48
600476.SH,湘邮科技,23.65,-4.83
603920.SH,世运电路,23.63,-5.59
300021.SZ,大禹节水,23.62,-2.60
300580.SZ,贝斯特,23.62,-5.29
603058.SH,永吉股份,23.61,-6.64
603797.SH,联泰环保,23.61,-1.58
603906.SH,龙蟠科技,23.60,-9.44
300592.SZ,华凯创意,23.59,-7.64
002776.SZ,柏堡龙,23.58,-2.24
603669.SH,灵康药业,23.56,-4.81
002108.SZ,沧州明珠,23.55,-3.68
002090.SZ,金智科技,23.50,-2.41
002371.SZ,北方华创,23.50,-4.00
000022.SZ,深赤湾A,23.49,-4.94
600702.SH,沱牌舍得,23.47,-1.72
002691.SZ,冀凯股份,23.45,-2.37
002848.SZ,高斯贝尔,23.44,-3.22
300124.SZ,汇川技术,23.39,1.30
002051.SZ,中工国际,23.35,-2.10
600148.SH,长春一东,23.34,-3.51
002159.SZ,三特索道,23.25,0.00
600487.SH,亨通光电,23.23,-1.15
600647.SH,同达创业,23.21,-1.61
002555.SZ,三七互娱,23.20,-3.21
300338.SZ,开元股份,23.20,0.91
300344.SZ,太空板业,23.20,-9.34
600150.SH,中国船舶,23.19,-2.60
600660.SH,福耀玻璃,23.16,1.89
600309.SH,万华化学,23.15,0.09
000567.SZ,海德股份,23.14,-3.46
603919.SH,金徽酒,23.11,-1.87
002094.SZ,青岛金王,23.10,-2.33
600599.SH,熊猫金控,23.08,-1.28
002577.SZ,雷柏科技,23.00,-4.37
300621.SZ,维业股份,23.00,-6.08
600663.SH,陆家嘴,22.96,0.92
300494.SZ,盛天网络,22.89,-2.26
600182.SH,S佳通,22.82,-2.52
603298.SH,杭叉集团,22.77,-4.73
002822.SZ,中装建设,22.75,-4.41
002713.SZ,东易日盛,22.68,-1.00
002728.SZ,特一药业,22.68,-6.44
300415.SZ,伊之密,22.68,-6.24
300418.SZ,昆仑万维,22.66,1.16
603690.SH,至纯科技,22.64,10.01
603708.SH,家家悦,22.62,-3.91
603823.SH,百合花,22.62,-3.58
300441.SZ,鲍斯股份,22.60,-1.74
601229.SH,上海银行,22.60,-1.57
300453.SZ,三鑫医疗,22.59,-1.10
300015.SZ,爱尔眼科,22.57,0.76
300233.SZ,金城医药,22.55,-1.91
300425.SZ,环能科技,22.51,-4.54
002581.SZ,未名医药,22.50,-0.31
002213.SZ,特尔佳,22.49,-3.48
002544.SZ,杰赛科技,22.49,-2.98
002806.SZ,华锋股份,22.40,-8.94
601020.SH,华钰矿业,22.37,-0.75
600715.SH,文投控股,22.36,0.05
002731.SZ,萃华珠宝,22.33,-2.36
002768.SZ,国恩股份,22.30,-2.19
300439.SZ,美康生物,22.27,-4.13
600260.SH,凯乐科技,22.26,-1.64
603968.SH,醋化股份,22.26,-1.72
603158.SH,腾龙股份,22.18,-4.07
300528.SZ,幸福蓝海,22.17,-3.61
600629.SH,华建集团,22.17,-4.19
603067.SH,振华股份,22.14,-3.32
000910.SZ,大亚圣象,22.12,-2.56
600498.SH,烽火通信,22.11,-2.38
603787.SH,新日股份,22.10,-10.02
002354.SZ,天神娱乐,22.09,-3.92
600779.SH,水井坊,22.06,-0.90
300407.SZ,凯发电气,22.02,6.84
002200.SZ,云投生态,22.00,-3.51
000925.SZ,众合科技,21.97,0.92
300183.SZ,东软载波,21.97,0.50
600818.SH,中路股份,21.96,-3.90
300534.SZ,陇神戎发,21.95,-9.00
300331.SZ,苏大维格,21.88,-4.20
600132.SH,重庆啤酒,21.87,-1.00
603501.SH,韦尔股份,21.86,-10.00
002065.SZ,东华软件,21.82,9.92
603555.SH,贵人鸟,21.82,-0.73
603189.SH,网达软件,21.77,-4.69
603229.SH,奥翔药业,21.71,-9.99
002301.SZ,齐心集团,21.65,-1.19
000581.SZ,威孚高科,21.60,-3.01
002273.SZ,水晶光电,21.60,-0.37
600661.SH,新南洋,21.60,2.32
300227.SZ,光韵达,21.58,-0.23
600850.SH,华东电脑,21.58,-2.09
600529.SH,山东药玻,21.56,-1.64
600926.SH,杭州银行,21.56,-0.28
603003.SH,龙宇燃油,21.55,-2.71
000070.SZ,特发信息,21.50,-2.27
300299.SZ,富春股份,21.50,-2.01
600637.SH,东方明珠,21.49,-0.23
002679.SZ,福建金森,21.46,-1.56
300078.SZ,思创医惠,21.43,0.05
002281.SZ,光迅科技,21.42,-3.08
600475.SH,华光股份,21.41,-4.46
300444.SZ,双杰电气,21.40,-3.12
603568.SH,伟明环保,21.40,-1.43
603779.SH,威龙股份,21.38,-2.20
300443.SZ,金雷风电,21.36,-4.17
000998.SZ,隆平高科,21.34,0.90
600867.SH,通化东宝,21.34,1.28
600874.SH,创业环保,21.32,-5.91
600518.SH,康美药业,21.28,1.33
002775.SZ,文科园林,21.24,-1.94
603177.SH,德创环保,21.21,-4.33
600756.SH,浪潮软件,21.18,7.19
002485.SZ,希努尔,21.15,1.20
002595.SZ,豪迈科技,21.12,0.86
002738.SZ,中矿资源,21.10,-4.27
002826.SZ,易明医药,21.03,-6.03
300512.SZ,中亚股份,20.95,-4.73
600585.SH,海螺水泥,20.95,1.16
600993.SH,马应龙,20.93,-0.05
603928.SH,兴业股份,20.93,-10.02
300379.SZ,东方通,20.91,-7.68
002694.SZ,顾地科技,20.90,-3.02
300408.SZ,三环集团,20.90,-0.48
600036.SH,招商银行,20.89,1.75
603999.SH,读者传媒,20.88,-4.70
002101.SZ,广东鸿图,20.85,-3.07
600480.SH,凌云股份,20.84,-5.10
002153.SZ,石基信息,20.79,-0.86
000411.SZ,英特集团,20.78,-2.17
000501.SZ,鄂武商A,20.76,1.22
300286.SZ,安科瑞,20.75,-3.71
002048.SZ,宁波华翔,20.74,-3.22
300144.SZ,宋城演艺,20.72,0.29
000997.SZ,新大陆,20.71,-3.13
300447.SZ,全信股份,20.70,-5.52
603758.SH,秦安股份,20.70,9.99
600079.SH,人福医药,20.67,2.58
603826.SH,坤彩科技,20.66,-9.98
603885.SH,吉祥航空,20.64,-0.91
002407.SZ,多氟多,20.62,-2.64
300388.SZ,国祯环保,20.62,-6.87
600007.SH,中国国贸,20.62,-0.19
603178.SH,圣龙股份,20.56,-9.98
300269.SZ,联建光电,20.50,0.20
600463.SH,空港股份,20.46,10.00
603081.SH,大丰实业,20.46,-9.99
000777.SZ,中核科技,20.44,-0.15
600645.SH,中源协和,20.44,-1.73
600459.SH,贵研铂业,20.42,-0.92
000895.SZ,双汇发展,20.40,0.49
002362.SZ,汉王科技,20.40,-3.41
603035.SH,常熟汽饰,20.40,-4.63
600549.SH,厦门钨业,20.39,-2.39
300114.SZ,中航电测,20.38,-2.54
000666.SZ,经纬纺机,20.37,1.85
300282.SZ,汇冠股份,20.34,-2.87
300641.SZ,正丹股份,20.30,-8.52
600373.SH,中文传媒,20.29,-2.12
002451.SZ,摩恩电气,20.28,-1.36
300503.SZ,昊志机电,20.27,-8.16
000697.SZ,炼石有色,20.22,-0.10
600977.SH,中国电影,20.22,-3.25
002724.SZ,海洋王,20.19,-2.79
600071.SH,凤凰光学,20.19,1.31
601088.SH,中国神华,20.15,0.85
300351.SZ,永贵电器,20.14,-2.66
000020.SZ,深华发A,20.10,-2.43
300037.SZ,新宙邦,20.10,-4.97
002186.SZ,全聚德,20.08,-1.62
600706.SH,曲江文旅,20.07,-1.33
300387.SZ,富邦股份,20.02,-7.44
603311.SH,金海环境,20.02,-3.61
600536.SH,中国软件,20.01,-2.96
002668.SZ,奥马电器,20.00,-3.89
000586.SZ,汇源通信,19.98,-0.15
002450.SZ,康得新,19.98,0.15
603886.SH,元祖股份,19.98,-6.15
002690.SZ,美亚光电,19.96,-2.59
002633.SZ,申科股份,19.94,-1.43
002389.SZ,南洋科技,19.92,-0.20
601966.SH,玲珑轮胎,19.92,-4.05
300296.SZ,利亚德,19.91,1.58
300479.SZ,神思电子,19.90,-4.56
600184.SH,光电股份,19.90,0.81
002158.SZ,汉钟精机,19.88,-2.55
600138.SH,中青旅,19.88,-1.68
600233.SH,圆通速递,19.87,-2.02
600167.SH,联美控股,19.79,-1.74
600835.SH,上海机电,19.74,-0.60
300403.SZ,地尔汉宇,19.71,-1.45
000881.SZ,中广核技,19.70,5.52
300161.SZ,华中数控,19.70,-3.95
300475.SZ,聚隆科技,19.69,-10.01
002055.SZ,得润电子,19.67,-2.24
002265.SZ,西仪股份,19.67,-0.05
300003.SZ,乐普医疗,19.67,-2.14
600741.SH,华域汽车,19.66,0.92
603861.SH,白云电器,19.66,-4.14
000544.SZ,中原环保,19.61,-1.90
300335.SZ,迪森股份,19.61,2.40
300375.SZ,鹏翎股份,19.61,-2.44
600066.SH,宇通客车,19.59,0.93
600622.SH,嘉宝集团,19.51,0.83
001979.SZ,招商蛇口,19.49,-0.76
300220.SZ,金运激光,19.48,-4.60
002597.SZ,金禾实业,19.46,-1.27
600998.SH,九州通,19.44,0.05
002748.SZ,世龙实业,19.42,-1.92
300591.SZ,万里马,19.41,-6.68
600521.SH,华海药业,19.41,-0.46
300437.SZ,清水源,19.40,-3.53
603789.SH,星光农机,19.40,-4.29
300295.SZ,三六五网,19.37,-3.05
600345.SH,长江通信,19.37,-3.15
603615.SH,茶花股份,19.37,-5.28
600633.SH,浙数文化,19.36,-0.87
300257.SZ,开山股份,19.35,-2.47
300284.SZ,苏交科,19.35,1.52
000738.SZ,航发控制,19.30,-2.03
300166.SZ,东方国信,19.30,-1.03
002030.SZ,达安基因,19.29,2.88
002217.SZ,合力泰,19.29,-1.03
603817.SH,海峡环保,19.28,-0.87
000504.SZ,南华生物,19.26,5.30
600887.SH,伊利股份,19.25,2.07
600195.SH,中牧股份,19.24,-1.43
002114.SZ,罗平锌电,19.23,2.23
002573.SZ,清新环境,19.23,-3.27
300373.SZ,扬杰科技,19.23,-0.05
300024.SZ,机器人,19.15,-3.67
600781.SH,辅仁药业,19.15,-3.23
000550.SZ,江铃汽车,19.12,-2.35
300070.SZ,碧水源,19.10,-2.80
600745.SH,中茵股份,19.08,-1.45
000002.SZ,万科A,19.07,-0.52
002040.SZ,南京港,19.07,-4.84
600197.SH,伊力特,19.06,-1.80
603828.SH,柯利达,19.06,-4.41
300103.SZ,达刚路机,19.05,-5.69
002446.SZ,盛路通信,19.04,-1.14
002458.SZ,益生股份,19.04,-3.30
300122.SZ,智飞生物,19.04,-9.98
000860.SZ,顺鑫农业,19.01,-2.01
000063.SZ,中兴通讯,19.00,-0.63
002313.SZ,日海通讯,19.00,-3.21
002711.SZ,欧浦智网,18.97,0.05
300140.SZ,中环装备,18.95,-1.51
002289.SZ,宇顺电子,18.90,1.34
002782.SZ,可立克,18.90,-4.50
600242.SH,中昌数据,18.87,-4.55
002618.SZ,丹邦科技,18.85,-0.74
300633.SZ,开立医疗,18.84,-9.25
002696.SZ,百洋股份,18.80,-3.34
002726.SZ,龙大肉食,18.80,-4.52
300061.SZ,康耐特,18.80,-4.67
000639.SZ,西王食品,18.75,-4.09
601882.SH,海天精工,18.74,-5.59
002785.SZ,万里石,18.72,-3.01
300141.SZ,和顺电气,18.71,-1.94
300046.SZ,台基股份,18.70,-4.49
300031.SZ,宝通科技,18.68,-0.95
002723.SZ,金莱特,18.67,-3.01
600735.SH,新华锦,18.67,-9.98
603505.SH,金石资源,18.62,9.98
601127.SH,小康股份,18.60,-2.87
002705.SZ,新宝股份,18.59,-1.01
300427.SZ,红相电力,18.59,-2.87
300052.SZ,中青宝,18.58,-8.43
603198.SH,迎驾贡酒,18.54,-2.11
000799.SZ,酒鬼酒,18.50,-4.74
002438.SZ,江苏神通,18.48,1.82
600241.SH,时代万恒,18.48,-6.67
002627.SZ,宜昌交运,18.46,-3.85
300130.SZ,新国都,18.46,-3.25
603001.SH,奥康国际,18.45,-0.97
002855.SZ,捷荣技术,18.43,-5.49
000977.SZ,浪潮信息,18.41,-0.11
300073.SZ,当升科技,18.41,-1.18
002236.SZ,大华股份,18.40,6.36
600520.SH,中发科技,18.40,-3.97
601877.SH,正泰电器,18.40,-0.59
300487.SZ,蓝晓科技,18.39,-4.96
300324.SZ,旋极信息,18.37,0.44
000989.SZ,九芝堂,18.35,-0.86
600855.SH,航天长峰,18.35,-2.86
002111.SZ,威海广泰,18.34,-3.07
002640.SZ,跨境通,18.32,0.55
002138.SZ,顺络电子,18.31,-2.56
600456.SH,宝钛股份,18.29,-2.25
600271.SH,航天信息,18.28,-1.77
300138.SZ,晨光生物,18.27,-0.71
300386.SZ,飞天诚信,18.27,-3.84
300343.SZ,联创互联,18.26,-3.34
002457.SZ,青龙管业,18.25,-5.93
600523.SH,贵航股份,18.25,-2.72
002196.SZ,方正电机,18.24,-2.09
000151.SZ,中成股份,18.21,-5.65
000852.SZ,石化机械,18.20,2.94
002045.SZ,国光电器,18.20,-0.93
300007.SZ,汉威电子,18.20,-1.19
002380.SZ,科远股份,18.19,-5.95
002667.SZ,鞍重股份,18.19,-4.26
600826.SH,兰生股份,18.17,-4.07
600703.SH,三安光电,18.14,3.24
603116.SH,红蜻蜓,18.14,-2.89
601211.SH,国泰君安,18.13,0.39
300306.SZ,远方光电,18.10,-1.26
603022.SH,新通联,18.06,-4.65
002001.SZ,新和成,18.00,-0.88
603309.SH,维力医疗,18.00,-4.26
300527.SZ,华舟应急,17.97,-5.62
300599.SZ,雄塑科技,17.97,-6.84
603389.SH,亚振家居,17.96,-10.02
002310.SZ,东方园林,17.95,-0.99
000011.SZ,深物业A,17.93,-3.29
000042.SZ,中洲控股,17.92,1.07
000797.SZ,中国武夷,17.92,1.65
002645.SZ,华宏科技,17.90,-2.45
002242.SZ,九阳股份,17.85,-3.41
603017.SH,中衡设计,17.85,-1.60
601566.SH,九牧王,17.83,-1.93
002839.SZ,张家港行,17.82,1.42
300460.SZ,惠伦晶体,17.82,-5.21
002275.SZ,桂林三金,17.81,0.51
600054.SH,黄山旅游,17.81,-1.28
002022.SZ,科华生物,17.80,0.00
000050.SZ,深天马A,17.79,-2.84
600587.SH,新华医疗,17.78,-2.15
603688.SH,石英股份,17.78,-2.31
002210.SZ,飞马国际,17.76,-0.56
002414.SZ,高德红外,17.74,-3.06
600848.SH,上海临港,17.74,-0.62
002182.SZ,云海金属,17.73,-1.28
600539.SH,狮头股份,17.69,-1.50
300643.SZ,万通智控,17.68,10.02
300477.SZ,合纵科技,17.67,1.03
300055.SZ,万邦达,17.65,-2.92
603959.SH,百利科技,17.65,-6.17
300300.SZ,汉鼎宇佑,17.63,-3.03
000996.SZ,中国中期,17.62,-5.27
002119.SZ,康强电子,17.61,-0.17
300188.SZ,美亚柏科,17.61,-2.55
600291.SH,西水股份,17.58,0.57
002036.SZ,联创电子,17.56,0.52
002241.SZ,歌尔股份,17.54,-1.41
002439.SZ,启明星辰,17.54,-2.28
000668.SZ,荣丰控股,17.52,-1.30
002311.SZ,海大集团,17.52,-0.40
002522.SZ,浙江众成,17.51,0.69
600446.SH,金证股份,17.51,-5.25
000711.SZ,京蓝科技,17.50,2.82
000768.SZ,中航飞机,17.50,-2.67
300049.SZ,福瑞股份,17.48,0.81
000728.SZ,国元证券,17.47,-3.11
000687.SZ,华讯方舟,17.46,4.49
002227.SZ,奥特迅,17.46,-3.32
002302.SZ,西部建设,17.46,1.28
300539.SZ,横河模具,17.46,-10.00
603979.SH,金诚信,17.46,-2.73
002658.SZ,雪迪龙,17.45,-4.38
600638.SH,新黄浦,17.45,0.52
300391.SZ,康跃科技,17.43,-3.97
002863.SZ,今飞凯达,17.41,-8.42
002511.SZ,中顺洁柔,17.39,0.93
002291.SZ,星期六,17.38,-1.59
603703.SH,盛洋科技,17.38,-5.60
002424.SZ,贵州百灵,17.37,7.62
300011.SZ,鼎汉技术,17.37,0.70
002396.SZ,星网锐捷,17.36,-0.52
600639.SH,浦东金桥,17.35,-0.12
000401.SZ,冀东水泥,17.34,-4.99
002341.SZ,新纶科技,17.34,0.70
002656.SZ,摩登大道,17.33,0.17
002307.SZ,北新路桥,17.32,-2.15
300597.SZ,吉大通信,17.32,-5.15
600783.SH,鲁信创投,17.32,-3.99
002405.SZ,四维图新,17.26,-1.65
002080.SZ,中材科技,17.21,-0.35
600421.SH,仰帆控股,17.20,-9.90
002353.SZ,杰瑞股份,17.19,-6.27
603101.SH,汇嘉时代,17.18,-5.55
600749.SH,西藏旅游,17.15,1.72
002646.SZ,青青稞酒,17.14,-1.38
600270.SH,外运发展,17.14,-0.75
300406.SZ,九强生物,17.13,-0.12
600804.SH,鹏博士,17.13,-1.55
002142.SZ,宁波银行,17.12,-1.04
002541.SZ,鸿路钢构,17.12,-0.23
000971.SZ,高升控股,17.10,0.47
002459.SZ,天业通联,17.10,1.79
300362.SZ,天翔环境,17.10,-4.58
600980.SH,北矿科技,17.09,-3.99
002727.SZ,一心堂,17.08,-0.99
600876.SH,洛阳玻璃,17.06,-4.05
300250.SZ,初灵信息,17.05,-4.80
600648.SH,外高桥,17.05,-2.07
600004.SH,白云机场,17.01,0.41
600343.SH,航天动力,17.01,-1.22
601098.SH,中南传媒,17.00,-0.29
600444.SH,国机通用,16.99,-1.05
002636.SZ,金安国纪,16.98,-4.28
300202.SZ,聚龙股份,16.98,-2.69
600097.SH,开创国际,16.97,-4.39
600742.SH,一汽富维,16.97,-0.82
000014.SZ,沙河股份,16.96,-1.45
600072.SH,中船科技,16.96,-4.40
002319.SZ,乐通股份,16.95,-0.53
002144.SZ,宏达高科,16.94,-3.48
002695.SZ,煌上煌,16.92,-3.70
002395.SZ,双象股份,16.91,-3.92
002774.SZ,快意电梯,16.91,-9.04
002672.SZ,东江环保,16.90,-2.03
600366.SH,宁波韵升,16.90,-2.03
300068.SZ,南都电源,16.88,-2.03
300402.SZ,宝色股份,16.88,-6.27
002752.SZ,昇兴股份,16.87,-0.88
300093.SZ,金刚玻璃,16.87,-5.60
300085.SZ,银之杰,16.86,-4.10
300127.SZ,银河磁体,16.85,-2.55
300455.SZ,康拓红外,16.85,-3.16
600329.SH,中新药业,16.85,-0.65
603188.SH,亚邦股份,16.85,-1.64
002333.SZ,罗普斯金,16.83,-1.06
600389.SH,江山股份,16.82,-2.89
002435.SZ,长江润发,16.80,-1.41
600135.SH,乐凯胶片,16.79,-1.81
603269.SH,海鸥股份,16.79,10.03
002507.SZ,涪陵榨菜,16.78,0.18
002603.SZ,以岭药业,16.78,0.66
600650.SH,锦江投资,16.78,-3.01
603899.SH,晨光文具,16.78,0.30
300271.SZ,华宇软件,16.77,0.96
600833.SH,第一医药,16.76,-3.01
000555.SZ,神州信息,16.73,-2.90
000615.SZ,京汉股份,16.73,-6.90
002189.SZ,利达光电,16.72,-4.29
002725.SZ,跃岭股份,16.71,-4.24
603323.SH,吴江银行,16.71,-1.18
002410.SZ,广联达,16.70,-0.12
002387.SZ,黑牛食品,16.69,-4.08
000525.SZ,红太阳,16.68,-2.46
002568.SZ,百润股份,16.65,-4.86
000626.SZ,远大控股,16.62,-3.32
300480.SZ,光力科技,16.61,-3.54
601952.SH,苏垦农发,16.59,-9.98
300378.SZ,鼎捷软件,16.58,-4.16
002085.SZ,万丰奥威,16.57,2.16
601688.SH,华泰证券,16.57,-0.72
000576.SZ,广东甘化,16.56,-1.72
600668.SH,尖峰集团,16.56,-2.47
000913.SZ,钱江摩托,16.52,-3.56
002589.SZ,瑞康医药,16.52,-1.08
000400.SZ,许继电气,16.51,-2.31
000662.SZ,天夏智慧,16.50,-0.66
002103.SZ,广博股份,16.50,-1.02
300398.SZ,飞凯材料,16.50,-3.57
300034.SZ,钢研高纳,16.49,-1.49
300210.SZ,森远股份,16.49,-1.90
600055.SH,万东医疗,16.49,-1.38
600088.SH,中视传媒,16.48,-4.13
603567.SH,珍宝岛,16.45,-2.26
600584.SH,长电科技,16.43,-3.01
002088.SZ,鲁阳节能,16.40,-1.74
600872.SH,中炬高新,16.40,-1.21
000681.SZ,视觉中国,16.37,1.36
600605.SH,汇通能源,16.36,-2.62
600774.SH,汉商集团,16.36,-3.54
603315.SH,福鞍股份,16.36,-5.27
000811.SZ,烟台冰轮,16.35,-5.16
603008.SH,喜临门,16.35,1.11
600739.SH,辽宁成大,16.33,-1.69
603588.SH,高能环境,16.33,-4.56
300237.SZ,美晨科技,16.31,-0.37
002551.SZ,尚荣医疗,16.29,3.56
600179.SH,安通控股,16.29,-2.16
601198.SH,东兴证券,16.29,-1.99
300036.SZ,超图软件,16.28,-3.56
603126.SH,中材节能,16.28,-1.39
600640.SH,号百控股,16.26,-2.28
603600.SH,永艺股份,16.26,-2.64
600155.SH,宝硕股份,16.25,-4.30
002661.SZ,克明面业,16.24,-0.61
300158.SZ,振东制药,16.22,-2.05
600895.SH,张江高科,16.22,-2.41
000819.SZ,岳阳兴长,16.21,-5.26
002169.SZ,智光电气,16.21,-1.76
603488.SH,展鹏科技,16.16,10.01
000039.SZ,中集集团,16.15,-4.72
002028.SZ,思源电气,16.15,-1.76
002733.SZ,雄韬股份,16.15,-3.64
300381.SZ,溢多利,16.15,-5.39
000617.SZ,中油资本,16.14,-0.31
000635.SZ,英力特,16.14,-3.64
600999.SH,招商证券,16.13,0.62
300001.SZ,特锐德,16.10,-3.01
002372.SZ,伟星新材,16.09,-3.60
603996.SH,中新科技,16.07,-0.80
002173.SZ,创新医疗,16.06,-1.23
300392.SZ,腾信股份,16.06,2.16
300281.SZ,金明精机,16.04,0.06
300342.SZ,天银机电,16.03,-1.29
002494.SZ,华斯股份,16.02,-5.49
600316.SH,洪都航空,16.02,-3.32
603558.SH,健盛集团,16.01,-2.44
300159.SZ,新研股份,16.00,0.95
600114.SH,东睦股份,15.98,0.25
002412.SZ,汉森制药,15.97,-0.68
002010.SZ,传化智联,15.95,-0.25
603818.SH,曲美家居,15.90,-1.91
002615.SZ,哈尔斯,15.87,-1.31
300354.SZ,东华测试,15.87,-5.59
002680.SZ,长生生物,15.86,-5.43
300360.SZ,炬华科技,15.86,-2.76
000732.SZ,泰禾集团,15.84,-1.49
300314.SZ,戴维医疗,15.84,-3.00
002614.SZ,奥佳华,15.80,-3.36
002716.SZ,金贵银业,15.80,-2.29
600768.SH,宁波富邦,15.80,-3.13
300276.SZ,三丰智能,15.76,-4.37
002449.SZ,国星光电,15.74,1.55
601811.SH,新华文轩,15.72,-4.09
603889.SH,新澳股份,15.72,-1.44
000733.SZ,振华科技,15.71,-1.13
000669.SZ,金鸿能源,15.70,-1.88
002730.SZ,电光科技,15.70,1.36
002136.SZ,安纳达,15.69,-3.27
600845.SH,宝信软件,15.69,-3.74
601166.SH,兴业银行,15.69,0.64
600506.SH,香梨股份,15.64,-4.69
601155.SH,新城控股,15.64,1.10
603699.SH,纽威股份,15.64,-1.01
300363.SZ,博腾股份,15.63,-2.62
600557.SH,康缘药业,15.61,-0.76
600992.SH,贵绳股份,15.61,-1.02
603020.SH,爱普股份,15.61,-6.13
000776.SZ,广发证券,15.60,-0.83
300258.SZ,精锻科技,15.60,0.97
000158.SZ,常山股份,15.59,-2.50
000676.SZ,智度股份,15.56,-2.20
002529.SZ,海源机械,15.55,-3.18
002567.SZ,唐人神,15.55,0.00
600030.SH,中信证券,15.55,-1.02
000609.SZ,绵石投资,15.52,-2.70
300014.SZ,亿纬锂能,15.52,-0.19
002246.SZ,北化股份,15.49,-0.58
600718.SH,东软集团,15.48,-3.85
300208.SZ,恒顺众昇,15.44,1.25
000096.SZ,广聚能源,15.42,-2.03
300128.SZ,锦富技术,15.42,-1.28
300262.SZ,巴安水务,15.42,-3.50
600588.SH,用友网络,15.42,-3.63
300009.SZ,安科生物,15.41,1.99
000990.SZ,诚志股份,15.39,-2.10
002422.SZ,科伦药业,15.39,-1.35
000590.SZ,启迪古汉,15.38,-5.70
002758.SZ,华通医药,15.38,-3.15
300289.SZ,利德曼,15.38,2.13
002373.SZ,千方科技,15.37,-4.53
002643.SZ,万润股份,15.35,-4.42
300248.SZ,新开普,15.26,-3.42
002044.SZ,美年健康,15.24,0.26
600594.SH,益佰制药,15.23,-0.46
600172.SH,黄河旋风,15.22,-0.72
300355.SZ,蒙草生态,15.18,-2.69
603308.SH,应流股份,15.18,-1.68
002147.SZ,新光圆成,15.17,-0.07
300204.SZ,舒泰神,15.17,-3.50
601100.SH,恒立液压,15.16,-2.07
300311.SZ,任子行,15.15,-7.68
603099.SH,长白山,15.15,-2.20
603456.SH,九洲药业,15.15,-2.57
002519.SZ,银河电子,15.11,0.13
300464.SZ,星徽精密,15.11,-3.57
600113.SH,浙江东日,15.11,-1.50
600202.SH,哈空调,15.11,-4.25
300016.SZ,北陆药业,15.08,1.69
600879.SH,航天电子,15.08,-2.27
002434.SZ,万里扬,15.07,2.24
002721.SZ,金一文化,15.07,-1.63
600362.SH,江西铜业,15.05,0.53
601997.SH,贵阳银行,15.05,-1.76
300368.SZ,汇金股份,15.04,-3.59
600000.SH,浦发银行,15.04,0.13
603599.SH,广信股份,15.03,-2.47
